"Airport Name","latitude_deg","longitude_deg","iata_code","","City Name","lat","lng"
"Vedanta Lanjigarh Airstrip","","","","","Dagarua","25.8","87.64"
"no airport","","","","","Sambhal","28.58","78.55"
"Salwas","","","","","Singrauliya","24.202","82.666"
"Airport","","","","","Naihati","22.89","88.42"
"Gangtok Helipad","","","","","Porbandar","21.6417","69.6293"
"Pakyong Airport (Under Construction)","","","","","Yamunanagar","30.133","77.288"
"Kayathar Airstrip","","","","","Pallavaram","12.9675","80.1491"
"Chettinad Airstrip","","","","","Khargone","21.82","75.6187"
"Ulundurpet Airstrip","","","","","Secunderabad","17.4399","78.4983"
"Cholavaram Airstrip","","","","","Bhuj","23.25","69.67"
"Sultanpur","","","","","Monghyr","25.381","86.465"
"Dudhkundi Airfield","","","","","Chapra","25.7848","84.7274"
"Piardoba Airfield","","","","","Bhadravati","13.8485","75.705"
"Bishnupur Airfield","","","","","Panchkula","30.74","76.8"
"Guskhara Airfield","","","","","Burhanpur","21.3114","76.2289"
"Pandaveswar Airfield","","","","","Kiratot","32.8376","76.2296"
"Aamby Valley Airport","","","","","Kapra","17.4859","78.5651"
"Kishangarh Airport","","","","","Ambala","30.38","76.78"
"Akli Airport","","","","","Kharagpur","22.3302","87.3237"
"Dhanipur Airstrip","","","","","Robertsonpet","12.9563","78.2754"
"Amravati (Belora) Airstrip","","","","","Dindigul","10.35","77.95"
"Jakkur Aerodrome","","","","","Raniwara Kalan","24.75","72.2167"
"Bilaspur Helipad","","","","","Shimla","31.1033","77.1722"
"Aviation Research Centre, RAW Headquarter Helipad","","","","","Hospet","15.2689","76.3909"
"Daporijo Airport","","","","","Maldah","25.0044","88.1458"
"Dhubulia Airstrip","","","","","Ongole","15.506","80.049"
"Digri Airstrip","","","","","Betigeri","15.443","75.6442"
"Sido Kanhu Airport","","","","","Kodumur","15.6833","77.7833"
"Kazi Nazrul Islam Airport","","","","","Ellore","16.7117","81.1031"
"Durgapur Steel Plant Airport","","","","","Deoghar","24.48","86.7"
"Faizabad Airport","","","","","Chhindwara","22.057","78.9396"
"STC BSF Indian Army Helipad","","","","","Lingampalli","17.4865","78.317"
"PAP Complex Heliport","","","","","Mokameh","25.3898","85.9191"
"Kalyan airstrip","","","","","Puri","19.8","85.8167"
"Kanchrapara Airfield","","","","","Haldia","22.0667","88.0698"
"Catholic Medical Centre Helipad","","","","","Khandwa","21.82","76.35"
"Kannur International Airport","","","","","Nandyal","15.48","78.48"
"Khandwa Airport","","","","","Pulimaddi","15.5386","78.4613"
"Kohima Helipad","","","","","Morena","26.5","78"
